Periodo_numero,Código institución_numero,Nombre institución_numero,Tipo institución I_numero,Tipo institución II_numero,Tipo institución III_numero,Total Mujeres_numero,Total Hombres_numero,Total General_numero,Promedio Edad Mujeres,Promedio Edad Hombres,Promedio Edad por institución,Menos de 35_numero,Entre 35 y 44_numero,Entre 45 y 54_numero,Entre 55 64,Entre 65 y mas_numero,Sin información_numero,N° acádemicos por rango de edad - Mujeres,Menos de 35_numero,Entre 35 y 44_numero,Entre 45 y 54_numero,Entre 55 y 64_numero,Entre 65 y más,Sin información_numero,N° académicos por rango de edad - Hombres,En 1 institución_numero,En 2 instituciones_numero,En 3 o más instituciones,Doctor_numero,Magister_numero,Especialidad médica u odontológica,Título Profesional_numero,Licenciatura_numero,Técnico de Nivel Superior_numero,Técnico de Nivel Medio_numero,Licencia de Enseñanza Media_numero,Sin Título ni grado académico,Sin información_numero,N° de académicos por nivel de formación,Región de Arica y Parinacota_numero,Región de Tarapacá,Región de Antofagasta_numero,Región de Atacáma,Región de Coquimbo_numero,Región de Valparaíso_numero,Región Metropolitana_numero,Región de O'Higgins_numero,Región del Maule_numero,Región del Ñuble_numero,Región del Bíobío,Región de la Araucanía_numero,Región de los Ríos_numero,Región de los Lagos_numero,Región de Aysén_numero,Región de Magallanes y la Antártica,Sin información_numero,Chileno_numero,Extranjero_numero,Promedio general de la institución,Promedio de la institución Mujeres ,Promedio de la institución Hombres,Menos de 11_numero,Entre 11 y menos de 23_numero,Entre 23 y menos de 39_numero,Entre 39 y más_numero,Sin información_numero,anho_numero,id,Periodo_jce,Código institución_jce,Nombre institución_jce,Tipo institución I_jce,Tipo institución II_jce,Tipo institución III_jce,Total Mujeres_jce,Total Hombres_jce,Total General_jce,Promedio de Edad Mujer,Promedio de Edad Hombre,Promedio de Edad por Institución,Menos de 35_jce,Entre 35 y 44_jce,Entre 45 y 54_jce,Entre 55 y 64_jce,Entre 65 y mas_jce,Sin información_jce,N° JCE por rango edad mujer,Menos de 35_jce,Entre 35 y 44_jce,Entre 45 y 54_jce,Entre 55 y 64_jce,Entre 65 y mas_jce,Sin información_jce,N° JCE por rango edad hombre,En 1 institución_jce,En 2 instituciones_jce,En 3 o mas instituciones,Doctor_jce,Magister_jce,Esp. Med./Odontológica,Título Profesional_jce,Licenciatura_jce,Técnico de Nivel Superior_jce,Técnico de Nivel Medio_jce,Licencia de Enseñanza Media_jce,Sin Título ni Grado,Sin información_jce,N° de JCE por nivel de formación,Región de Arica y Parinacota_jce,Región  de Tarapacá,Región de Antofagasta_jce,Región de Atacama,Región de Coquimbo_jce,Región de Valparaíso_jce,Región Metropolitana_jce,Región de O'Higgins_jce,Región del Maule_jce,Región del Ñuble_jce,Región del Biobío,Región de la Araucanía_jce,Región de los Ríos_jce,Región de los Lagos_jce,Región de Aysén_jce,Región de Magallanes y la Artártica,Sin información_jce,Chileno_jce,Extranjero_jce,Menos de 11_jce,Entre 11 y menos de 23_jce,Entre 23 y menos de 39_jce,Entre 39 y más_jce,anho_jce,Año,Corr,RK,Institution,int_rec,universidad,cod_inst,*Level*,*Sector*,*Country*,*World Region*,*Region*,*Output*,*Excellence with Leadership*,*Normalized Impact*,*Normalized Impact Leadership*,*Scientific Talent Pool*,*Scientific Leadership*,*International Collaboration*,*High Quality Publications*,*Excellence*,*Innovative Knowledge*,*Technological Impact*,*Patents*,*Open Access*,*Not Own Journals*,*Own Journals*,*PlumX*,*Mendeley*
PAC_2023,1,UNIVERSIDAD GABRIELA MISTRAL,Universidades,Universidades Privadas,Universidades Privadas,146,248,394,44,46,45,33,54,30,25,4,,146,28,91,75,46,8,,248,213,114,67,50,281,3,55,3,1,1,,,,394,,,,,,,394,,,,,,,,,,,352,42,"10,9","12,9","9,7",308,20,6,60,,2023,2023-1,PAC_2023,1,UNIVERSIDAD GABRIELA MISTRAL,Universidades,Universidades Privadas,Universidades Privadas,"42,7","54,9","97,6","43,4","46,2","45,0","7,0","19,3","11,4","4,8","0,2",,"42,7","4,0","23,0","17,4","9,3","1,3",,"54,9","64,8","23,4","9,4","12,0","68,7","0,2","15,6","0,3","0,6","0,1",,,,"97,6",,,,,,,"97,6",,,,,,,,,,,"88,8","8,8","26,0","6,7","3,9","61,1",2023,2023,2618,2618,"
Universidad Gabriela Mistral",Universidad Gabriela Mistral,1,1,0,Higher educ.,CHL,Latin America,Metropolitana de Santiago,56,0,"0,55","0,57",40,27,15,7,2,0,0,0,"78,57",56,0,18,52
PAC_2023,2,UNIVERSIDAD FINIS TERRAE,Universidades,Universidades Privadas,Universidades Privadas,525,615,1140,43,46,45,114,204,126,66,15,,525,108,187,172,94,54,,615,827,231,82,182,501,167,244,43,3,,,,,1140,,,,,,,1140,,,,,,,,,,,1069,71,"19,3","19,8","18,9",523,152,256,209,,2023,2023-2,PAC_2023,2,UNIVERSIDAD FINIS TERRAE,Universidades,Universidades Privadas,Universidades Privadas,"235,8","264,6","500,4","43,6","47,4","45,6","37,9","97,1","63,9","32,1","4,8",,"235,8","30,8","85,2","83,8","39,6","25,2",,"264,6","387,6","87,2","25,6","112,4","238,5","53,8","78,6","14,9","2,2",,,,,"500,4",,,,,,,"500,4",,,,,,,,,,,"467,8","32,5","72,0","51,0","154,0","223,4",2023,2023,848,848,"
Universidad Finis Terrae",Universidad Finis Terrae,1,2,0,Higher educ.,CHL,Latin America,Metropolitana de Santiago,580,14,"0,82","0,56",392,277,255,201,46,0,0,0,"60,52",580,0,218,483
PAC_2023,3,UNIVERSIDAD DIEGO PORTALES,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,1115,1383,2498,44,46,45,233,402,284,148,48,,1115,246,493,327,207,110,,1383,1777,575,146,440,912,507,575,47,3,5,,,9,2498,,,,,,,2498,,,,,,,,,,,2291,207,"15,6","15,7","15,6",1282,641,206,369,,2023,2023-3,PAC_2023,3,UNIVERSIDAD DIEGO PORTALES,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,"398,5","489,5","888,0","44,7","46,3","45,6","65,8","147,5","111,9","58,3","15,0",,"398,5","69,9","179,0","127,2","74,9","38,4",,"489,5","678,2","169,8","40,0","268,4","327,8","123,5","152,0","13,1","0,5","1,3",,,"1,5","888,0",,,,,,,"888,0",,,,,,,,,,,"805,7","82,3","138,4","236,8","135,6","377,1",2023,2023,263,263,"
Universidad Diego Portales",Universidad Diego Portales,1,3,0,Higher educ.,CHL,Latin America,Metropolitana de Santiago,2180,102,"1,44","0,96",819,849,1349,1289,421,4,"0,21",0,"70,32",2159,3,1014,1908
PAC_2023,4,UNIVERSIDAD CENTRAL DE CHILE,Universidades,Universidades Privadas,Universidades Privadas,529,651,1180,45,48,47,99,179,138,78,35,,529,98,191,181,109,72,,651,780,280,120,186,662,,309,20,3,,,,,1180,,,,,304,,876,,,,,,,,,,,1146,34,"20,8","22,1","19,8",523,249,39,369,,2023,2023-4,PAC_2023,4,UNIVERSIDAD CENTRAL DE CHILE,Universidades,Universidades Privadas,Universidades Privadas,"265,9","292,8","558,6","45,6","48,4","47,1","45,4","97,6","67,8","34,4","20,7",,"265,9","30,6","93,4","82,8","54,1","31,9",,"292,8","425,4","100,9","32,4","129,6","313,6",,"107,6","7,0","0,9",,,,,"558,6",,,,,"131,9",,"426,8",,,,,,,,,,,"539,0","19,7","62,3","92,7","27,5","376,2",2023,2023,928,928,"
Universidad Central de Chile",Universidad Central de Chile,1,4,0,Higher educ.,CHL,Latin America,Metropolitana de Santiago,512,16,"1,01","0,55",253,223,270,221,52,3,"0,62",0,"60,94",512,0,210,442
PAC_2023,7,UNIVERSIDAD BOLIVARIANA,Universidades,Universidades Privadas,Universidades Privadas,52,77,129,48,51,50,9,18,8,7,10,,52,4,24,21,17,11,,77,89,27,13,4,40,,79,5,1,,,,,129,,20,,,12,,45,,,,52,,,,,,,128,1,"11,4","10,6","12,0",83,31,6,9,,2023,2023-7,PAC_2023,7,UNIVERSIDAD BOLIVARIANA,Universidades,Universidades Privadas,Universidades Privadas,"12,5","21,0","33,5","49,0","52,3","51,0","1,3","4,6","2,7","1,2","2,8",,"12,5","0,8","6,3","4,7","6,4","2,8",,"21,0","23,1","8,3","2,2","1,6","11,7",,"18,5","1,5","0,2",,,,,"33,5",,"4,2",,,"4,3",,"15,4",,,,"9,6",,,,,,,"33,4","0,0","9,9","10,9","3,8","8,9",2023,2023,6113,6113,"
Universidad Bolivariana",Universidad Bolivariana,1,7,0,Higher educ.,CHL,Latin America,Metropolitana de Santiago,3,0,"0,28","0,57",3,2,0,1,0,0,0,0,"33,33",3,0,0,3
PAC_2023,10,UNIVERSIDAD MAYOR,Universidades,Universidades Privadas,Universidades Privadas,960,1119,2079,44,46,45,212,330,246,110,62,,960,188,374,282,167,108,,1119,1498,405,176,285,1038,187,500,44,25,,,,,2079,,,,,,,1623,,,,,456,,,,,,1960,119,"18,0","20,1","16,2",1144,326,85,524,,2023,2023-10,PAC_2023,10,UNIVERSIDAD MAYOR,Universidades,Universidades Privadas,Universidades Privadas,"438,1","411,5","849,7","45,1","46,5","45,8","66,2","162,7","133,5","52,0","23,7",,"438,1","54,8","150,3","110,8","58,4","37,3",,"411,5","693,7","116,4","39,5","206,7","456,3","35,3","128,7","17,6","5,1",,,,,"849,7",,,,,,,"657,8",,,,,"191,9",,,,,,"788,8","60,9","119,5","133,6","58,5","538,1",2023,2023,321,321,"
Universidad Mayor ",Universidad Mayor,1,10,0,Higher educ.,CHL,Latin America,Metropolitana de Santiago,1876,79,"1,21","0,87",1009,726,1208,1051,253,18,1,3,"66,9",1876,0,1045,1713
PAC_2023,11,UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO,Universidades,Universidades Privadas,Universidades Privadas,232,281,513,45,47,46,38,95,57,28,14,,232,28,99,82,56,16,,281,302,158,53,95,213,,112,84,9,,,,,513,,,,,,,513,,,,,,,,,,,497,16,"12,5","12,6","12,5",230,238,43,2,,2023,2023-11,PAC_2023,11,UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO,Universidades,Universidades Privadas,Universidades Privadas,"66,5","79,8","146,2","44,6","47,2","46,0","11,2","26,8","17,7","7,5","3,3",,"66,5","7,8","28,0","21,5","18,4","4,0",,"79,8","86,6","46,3","13,4","28,0","57,9",,"32,5","25,6","2,3",,,,,"146,2",,,,,,,"146,2",,,,,,,,,,,"141,4","4,8","38,3","80,9","25,0","2,1",2023,2023,1518,1518,"
Universidad Academia de Humanismo Cristiano",Universidad Academia de Humanismo Cristiano,1,11,0,Higher educ.,CHL,Latin America,Metropolitana de Santiago,209,5,"0,57","0,48",142,136,58,66,10,0,0,0,"69,38",209,0,58,166
PAC_2023,13,UNIVERSIDAD SANTO TOMAS,Universidades,Universidades Privadas,Universidades Privadas,1884,1664,3548,42,43,42,527,711,406,171,69,,1884,379,618,410,180,77,,1664,2316,847,385,345,1826,3,1320,36,14,,,,4,3548,121,213,191,,278,347,932,,284,,469,216,149,348,,,,3477,71,"15,7","16,9","14,3",2144,462,249,693,,2023,2023-13,PAC_2023,13,UNIVERSIDAD SANTO TOMAS,Universidades,Universidades Privadas,Universidades Privadas,"723,8","541,0","1.264,8","43,3","44,1","43,6","146,7","285,7","189,4","78,4","23,6",,"723,8","95,2","205,7","159,3","61,6","19,3",,"541,0","932,6","235,3","97,0","184,6","774,4","0,1","295,6","8,3","1,7",,,,"0,3","1.264,8","46,8","86,9","65,2",,"104,8","107,1","348,9",,"97,3",,"158,2","73,3","52,0","124,3",,,,"1.235,9","29,0","215,1","176,9","165,5","707,4",2023,2023,521,521,"
Universidad Santo Tomas",Universidad Santo Tomas,1,13,0,Higher educ.,CHL,Latin America,Metropolitana de Santiago,1079,14,"0,71","0,45",720,352,604,332,73,4,"0,4",1,"71,27",1079,0,410,949
PAC_2023,16,UNIVERSIDAD LA REPUBLICA,Universidades,Universidades Privadas,Universidades Privadas,113,133,246,43,45,44,27,42,24,14,6,,113,25,47,28,26,7,,133,177,51,18,8,78,,153,7,,,,,,246,13,,22,,5,,63,42,14,27,39,21,,,,,,239,7,"7,9","7,9","7,8",205,30,,11,,2023,2023-16,PAC_2023,16,UNIVERSIDAD LA REPUBLICA,Universidades,Universidades Privadas,Universidades Privadas,"20,3","23,6","43,9","44,8","44,4","44,6","4,1","7,1","4,8","3,5","0,8",,"20,3","4,8","8,9","5,1","3,0","1,8",,"23,6","35,5","6,5","1,9","1,6","16,1",,"25,3","0,9",,,,,,"43,9","1,6",,"6,0",,"1,0",,"13,7","6,3","1,9","4,4","6,1","2,9",,,,,,"43,2","0,8","23,5","9,4",,"11,0",2023,2023,4763,4763,"
Universidad La Republica",Universidad La Republica,1,16,0,Higher educ.,CHL,Latin America,Metropolitana de Santiago,9,0,"0,14","0,18",14,5,3,2,0,0,0,0,"77,78",9,0,1,6
PAC_2023,17,UNIVERSIDAD SEK,Universidades,Universidades Privadas,Universidades Privadas,178,165,343,47,47,47,19,60,52,34,13,,178,24,48,49,29,15,,165,205,83,55,52,196,1,76,18,,,,,,343,,,,,,,343,,,,,,,,,,,331,12,"16,7","19,2","14,1",203,43,23,74,,2023,2023-17,PAC_2023,17,UNIVERSIDAD SEK,Universidades,Universidades Privadas,Universidades Privadas,"77,6","52,7","130,3","48,2","51,0","49,4","8,1","26,6","19,9","14,7","8,4",,"77,6","5,7","11,4","14,9","12,4","8,2",,"52,7","87,7","29,5","13,2","20,0","81,8","0,3","22,7","5,7",,,,,,"130,3",,,,,,,"130,3",,,,,,,,,,,"124,3","6,1","22,9","15,8","14,4","77,3",2023,2023,2221,2221,"
UNIVERSIDAD SEK",UNIVERSIDAD SEK,1,17,0,Higher educ.,CHL,Latin America,Metropolitana de Santiago,86,1,"0,69","0,2",52,22,50,39,9,0,0,0,"66,28",86,0,35,77
