Unnamed: 0,ID_3,ID,ANHO_PLAN,ANHO-SIES,ANHO_SIES_CARR,ANHO_SIES_JOR,COD_PLA,ANHO,AÑO BÚSQUEDA SIES,Column6,PLAN_NOMBRE,JORNADA USACH,JORNADA SIES,ESTADO JORNADA,LLAVE,SIES_CARR,SIES,LLAVE SIES,PROGRAMA SIES,ID.1,OBSERVACIÓN,COD_PLAN2,COD CARRERA,Nombre carrera,REPLICA COD_SIES,DURACIÓN,Tipo Carrera  ,Nombre Título  ,COD_DEPTO,COD_DEPTO_2,COD_FAC,Columna2,FACULTAD,Columna1
1.0,INGMIN-2010-18,1017-2010,2004-1017,2004-I71S1C17J1V1,2004-I71S1C17,2004-I71S1C17J1,1017.0,2004.0,2010.0,,INGENIERÍA EN MINAS,1.0,1.0,OK,10172004.0,I71S1C17,I71S1C17J1V1,2010I71S1C17J1V1,INGENIERIA CIVIL EN MINAS,2010INGMIN,"SE ASOCIA A LA CARRERA DE INGENIERÍA CIVIL EN MINAS, NO EXISTE ESTA CARRERA EN SÍ",1017.0,INGMIN,INGENIERÍA EN MINAS,I71S1C17J1V1,18.0,Plan Regular,INGENIERO CIVIL EN MINAS,48.0,48.0,40.0,DPTO DE INGENIERÍA EN MINAS,FACULTAD DE INGENIERÍA,40.0
2.0,INGMIN-2010-18,1017-2010,2005-1017,2005-I71S1C17J1V1,2005-I71S1C17,2005-I71S1C17J1,1017.0,2005.0,2010.0,,INGENIERÍA EN MINAS,1.0,1.0,OK,10172005.0,I71S1C17,I71S1C17J1V1,2010I71S1C17J1V1,INGENIERIA CIVIL EN MINAS,2010INGMIN,0,1017.0,INGMIN,INGENIERÍA EN MINAS,I71S1C17J1V1,18.0,Plan Regular,INGENIERO CIVIL EN MINAS,48.0,48.0,40.0,DPTO DE INGENIERÍA EN MINAS,FACULTAD DE INGENIERÍA,40.0
3.0,INGMIN-2010-18,1017-2010,2007-1017,2007-I71S1C17J1V1,2007-I71S1C17,2007-I71S1C17J1,1017.0,2007.0,2010.0,,INGENIERÍA EN MINAS,1.0,1.0,OK,10172007.0,I71S1C17,I71S1C17J1V1,2010I71S1C17J1V1,INGENIERIA CIVIL EN MINAS,2010INGMIN,0,1017.0,INGMIN,INGENIERÍA EN MINAS,I71S1C17J1V1,18.0,Plan Regular,INGENIERO CIVIL EN MINAS,48.0,48.0,40.0,DPTO DE INGENIERÍA EN MINAS,FACULTAD DE INGENIERÍA,40.0
4.0,INGOBR-2021-12,1018-2021,2021-1018,2021-I71S1C18J1V1,2021-I71S1C18,2021-I71S1C18J1,1018.0,2021.0,2021.0,,INGENIERÍA EN OBRAS CIVILES,1.0,1.0,OK,10182021.0,I71S1C18,I71S1C18J1V1,2021I71S1C18J1V1,INGENIERIA CIVIL EN OBRAS CIVILES,2021INGOBR,"SE ASOCIA A LA CARRERA DE INGENIERÍA CIVIL EN OBRAS CIVILES, NO EXISTE ESTA CARRERA EN SÍ",1018.0,INGOBR,INGENIERÍA EN OBRAS CIVILES,I71S1C18J1V1,12.0,Plan Regular,INGENIERO CIVIL EN OBRAS CIVILES,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
5.0,INGOBR-2022-12,1018-2022,2022-1018,2022-I71S1C18J1V1,2022-I71S1C18,2022-I71S1C18J1,1018.0,2022.0,2022.0,,INGENIERÍA EN OBRAS CIVILES,1.0,1.0,OK,10182022.0,I71S1C18,I71S1C18J1V1,2022I71S1C18J1V1,INGENIERIA CIVIL EN OBRAS CIVILES,2022INGOBR,"SE ASOCIA A LA CARRERA DE INGENIERÍA CIVIL EN OBRAS CIVILES, NO EXISTE ESTA CARRERA EN SÍ",1018.0,INGOBR,INGENIERÍA EN OBRAS CIVILES,I71S1C18J1V1,12.0,Plan Regular,INGENIERO CIVIL EN OBRAS CIVILES,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
6.0,INGOBR-2023-12,1018-2023,2023-1018,2023-I71S1C18J1V1,2023-I71S1C18,2023-I71S1C18J1,1018.0,2023.0,2023.0,,INGENIERÍA EN OBRAS CIVILES,1.0,1.0,OK,10182023.0,I71S1C18,I71S1C18J1V1,2023I71S1C18J1V1,INGENIERIA CIVIL EN OBRAS CIVILES,2023INGOBR,,1018.0,INGOBR,INGENIERÍA EN OBRAS CIVILES,I71S1C18J1V1,12.0,Plan Regular,INGENIERO CIVIL EN OBRAS CIVILES,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
7.0,INGQUIM-2010-18,1019-2010,2006-1019,2006-I71S1C22J1V1,2006-I71S1C22,2006-I71S1C22J1,1019.0,2006.0,2010.0,,INGENIERÍA EN QUÍMICA,1.0,1.0,OK,10192006.0,I71S1C22,I71S1C22J1V1,2010I71S1C22J1V1,INGENIERIA CIVIL QUIMICA,2010INGQUIM,"NO EXISTE EN OA LA CARRERA MENCIONADA, SE ASOCIA A INGENIERÍA CIVIL QUÍMICA",1019.0,INGQUIM,INGENIERÍA EN QUÍMICA,I71S1C22J1V1,18.0,Plan Regular,INGENIERO CIVIL EN QUIMICA,47.0,47.0,40.0,DPTO DE INGENIERÍA QUÍMICA,FACULTAD DE INGENIERÍA,40.0
8.0,INGQUIM-2010-18,1019-2010,2007-1019,2007-I71S1C22J1V1,2007-I71S1C22,2007-I71S1C22J1,1019.0,2007.0,2010.0,,INGENIERÍA EN QUÍMICA,1.0,2.0,NO,10192007.0,I71S1C22,I71S1C22J1V1,2010I71S1C22J1V1,INGENIERIA CIVIL QUIMICA,2010INGQUIM,"NO EXISTE EN OA LA CARRERA MENCIONADA, SE ASOCIA A INGENIERÍA CIVIL QUÍMICA",1019.0,INGQUIM,INGENIERÍA EN QUÍMICA,I71S1C22J1V1,18.0,Plan Regular,INGENIERO CIVIL EN QUIMICA,47.0,47.0,40.0,DPTO DE INGENIERÍA QUÍMICA,FACULTAD DE INGENIERÍA,40.0
9.0,CCIV-2010-16,1020-2010,2004-1020,2004-I71S1C90J2V1,2004-I71S1C90,2004-I71S1C90J2,1020.0,2004.0,2010.0,,CONSTRUCCIÓN CIVIL,1.0,2.0,NO,10202004.0,I71S1C90,I71S1C90J2V1,2010I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2010CCIV,"NO EXISTE EN OA LA CARRERA MENCIONADA, SE ASOCIA AL PLAN ESPECIAL",1020.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,16.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
10.0,CCIV-2010-16,1021-2010,2004-1021,2004-I71S1C90J2V1,2004-I71S1C90,2004-I71S1C90J2,1021.0,2004.0,2010.0,,CONSTRUCCIÓN CIVIL,2.0,2.0,OK,10212004.0,I71S1C90,I71S1C90J2V1,2010I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2010CCIV,"NO EXISTE EN OA LA CARRERA MENCIONADA, SE ASOCIA AL PLAN ESPECIAL",1021.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,16.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
11.0,CCIV-2010-16,1021-2010,2005-1021,2005-I71S1C90J2V1,2005-I71S1C90,2005-I71S1C90J2,1021.0,2005.0,2010.0,,CONSTRUCCIÓN CIVIL,2.0,2.0,OK,10212005.0,I71S1C90,I71S1C90J2V1,2010I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2010CCIV,"NO EXISTE EN OA LA CARRERA MENCIONADA, SE ASOCIA AL PLAN ESPECIAL",1021.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,16.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
12.0,CCIV-2010-16,1021-2010,2006-1021,2006-I71S1C90J2V1,2006-I71S1C90,2006-I71S1C90J2,1021.0,2006.0,2010.0,,CONSTRUCCIÓN CIVIL,2.0,2.0,OK,10212006.0,I71S1C90,I71S1C90J2V1,2010I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2010CCIV,"NO EXISTE EN OA LA CARRERA MENCIONADA, SE ASOCIA AL PLAN ESPECIAL",1021.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,16.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
13.0,CCIV-2010-16,1021-2010,2007-1021,2007-I71S1C90J2V1,2007-I71S1C90,2007-I71S1C90J2,1021.0,2007.0,2010.0,,CONSTRUCCIÓN CIVIL,2.0,2.0,OK,10212007.0,I71S1C90,I71S1C90J2V1,2010I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2010CCIV,"NO EXISTE EN OA LA CARRERA MENCIONADA, SE ASOCIA AL PLAN ESPECIAL",1021.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,16.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
14.0,CCIV-2010-16,1021-2010,2008-1021,2008-I71S1C90J2V1,2008-I71S1C90,2008-I71S1C90J2,1021.0,2008.0,2010.0,,CONSTRUCCIÓN CIVIL,2.0,2.0,OK,10212008.0,I71S1C90,I71S1C90J2V1,2010I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2010CCIV,"NO EXISTE EN OA LA CARRERA MENCIONADA, SE ASOCIA AL PLAN ESPECIAL",1021.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,16.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
