ANHO_ING,CODIGO_CARRERA_x,coh,ret_1_n,ret_2_n,ret_3_n,ret_1,ret_2,ret_3,NIVEL_GLOBAL
2007,ADMPUB,115,105.0,102.0,94.0,0.9130434782608695,0.8869565217391304,0.8173913043478261,PREGRADO
2007,ARQ,65,62.0,60.0,57.0,0.9538461538461539,0.9230769230769231,0.8769230769230769,PREGRADO
2007,BACHI,106,75.0,25.0,2.0,0.7075471698113207,0.2358490566037736,0.018867924528301886,PREGRADO
2007,CCIV,97,82.0,63.0,28.0,0.845360824742268,0.6494845360824743,0.28865979381443296,PREGRADO
2007,CONTA,175,145.0,128.0,123.0,0.8285714285714286,0.7314285714285714,0.7028571428571428,PREGRADO
2007,DIPAGR,8,,,,,,,DIPLOMADO
2007,DIPAN,30,,,,,,,DIPLOMADO
2007,DIPAP,26,,,,,,,DIPLOMADO
2007,DIPAPR,47,,,,,,,DIPLOMADO
2007,DIPAR,34,1.0,,,0.029411764705882353,,,DIPLOMADO
2007,DIPCD,28,,,,,,,DIPLOMADO
2007,DIPCSA,18,,,,,,,DIPLOMADO
2007,DIPDHG,18,,,,,,,DIPLOMADO
2007,DIPEG,14,,,,,,,DIPLOMADO
2007,DIPEGCR,74,,,,,,,DIPLOMADO
2007,DIPEPC,23,,,,,,,DIPLOMADO
2007,DIPEREG,7,,,,,,,DIPLOMADO
2007,DIPET,91,,,,,,,DIPLOMADO
2007,DIPGA,28,,,1.0,,,0.03571428571428571,DIPLOMADO
2007,DIPGC,14,,,,,,,DIPLOMADO
2007,DIPGCA,54,,,,,,,DIPLOMADO
2007,DIPGCLC,9,,,,,,,DIPLOMADO
2007,DIPGCSP,3,,,,,,,DIPLOMADO
2007,DIPGES,46,,,,,,,DIPLOMADO
2007,DIPGFIN,10,,,,,,,DIPLOMADO
2007,DIPGINM,11,,,,,,,DIPLOMADO
2007,DIPGLDN,10,,,,,,,DIPLOMADO
2007,DIPGLGC,12,,,,,,,DIPLOMADO
2007,DIPGLPD,31,2.0,1.0,1.0,0.06451612903225806,0.03225806451612903,0.03225806451612903,DIPLOMADO
2007,DIPGS,24,,,,,,,DIPLOMADO
2007,DIPIEDF,36,4.0,1.0,,0.1111111111111111,0.027777777777777776,,DIPLOMADO
2007,DIPLAS,10,,,,,,,DIPLOMADO
2007,DIPMG,26,,,,,,,DIPLOMADO
2007,DIPNICI,112,,,,,,,DIPLOMADO
2007,DIPPINF,15,,,,,,,DIPLOMADO
2007,DIPPMM,5,,,,,,,DIPLOMADO
2007,DIPPN,16,,,,,,,DIPLOMADO
2007,DIPSD,14,,,,,,,DIPLOMADO
2007,DIPSGV,42,,,,,,,DIPLOMADO
2007,DOCBIO,11,9.0,6.0,6.0,0.8181818181818182,0.5454545454545454,0.5454545454545454,DOCTORADO
2007,DOCCSALIM,4,3.0,3.0,3.0,0.75,0.75,0.75,DOCTORADO
2007,DOCCSFIS,2,2.0,2.0,2.0,1.0,1.0,1.0,DOCTORADO
2007,DOCCSING,25,24.0,19.0,16.0,0.96,0.76,0.64,DOCTORADO
2007,DOCCSMAT,1,1.0,1.0,1.0,1.0,1.0,1.0,DOCTORADO
2007,DOCESTAM,18,18.0,13.0,11.0,1.0,0.7222222222222222,0.6111111111111112,DOCTORADO
2007,DOCMICROBIO,4,4.0,4.0,4.0,1.0,1.0,1.0,DOCTORADO
2007,DOCQUIM,9,9.0,8.0,8.0,1.0,0.8888888888888888,0.8888888888888888,DOCTORADO
2007,ENF,60,55.0,53.0,52.0,0.9166666666666666,0.8833333333333333,0.8666666666666667,PREGRADO
2007,ICELEC,120,86.0,69.0,66.0,0.7166666666666667,0.575,0.55,PREGRADO
2007,ICGEOG,44,17.0,16.0,14.0,0.38636363636363635,0.36363636363636365,0.3181818181818182,PREGRADO
2007,ICIND,187,162.0,150.0,130.0,0.8663101604278075,0.8021390374331551,0.6951871657754011,PREGRADO
2007,ICINF,97,69.0,53.0,45.0,0.711340206185567,0.5463917525773195,0.4639175257731959,PREGRADO
2007,ICMEC,117,91.0,81.0,64.0,0.7777777777777778,0.6923076923076923,0.5470085470085471,PREGRADO
2007,ICMET,55,35.0,33.0,30.0,0.6363636363636364,0.6,0.5454545454545454,PREGRADO
2007,ICMIN,115,96.0,88.0,74.0,0.8347826086956521,0.7652173913043478,0.6434782608695652,PREGRADO
2007,ICOBR,95,82.0,79.0,72.0,0.8631578947368421,0.8315789473684211,0.7578947368421053,PREGRADO
2007,ICQUIM,62,55.0,54.0,46.0,0.8870967741935484,0.8709677419354839,0.7419354838709677,PREGRADO
2007,IEAMB,15,11.0,11.0,10.0,0.7333333333333333,0.7333333333333333,0.6666666666666666,PREGRADO
2007,IECLIM,45,32.0,32.0,26.0,0.7111111111111111,0.7111111111111111,0.5777777777777777,PREGRADO
2007,IEELEC,165,132.0,116.0,104.0,0.8,0.703030303030303,0.6303030303030303,PREGRADO
2007,IEGEOM,71,47.0,40.0,31.0,0.6619718309859155,0.5633802816901409,0.43661971830985913,PREGRADO
2007,IEIND,169,109.0,107.0,95.0,0.6449704142011834,0.6331360946745562,0.5621301775147929,PREGRADO
2007,IEINF,75,56.0,49.0,46.0,0.7466666666666667,0.6533333333333333,0.6133333333333333,PREGRADO
2007,IEMEC,123,97.0,85.0,77.0,0.7886178861788617,0.6910569105691057,0.6260162601626016,PREGRADO
2007,IEMET,59,32.0,26.0,25.0,0.5423728813559322,0.4406779661016949,0.423728813559322,PREGRADO
2007,IEMIN,97,61.0,64.0,61.0,0.6288659793814433,0.6597938144329897,0.6288659793814433,PREGRADO
2007,IEQUIM,50,38.0,35.0,31.0,0.76,0.7,0.62,PREGRADO
2007,INGAGRO,50,44.0,44.0,42.0,0.88,0.88,0.84,PREGRADO
2007,INGAL,41,30.0,27.0,26.0,0.7317073170731707,0.6585365853658537,0.6341463414634146,PREGRADO
2007,INGAMB,35,20.0,18.0,18.0,0.5714285714285714,0.5142857142857142,0.5142857142857142,PREGRADO
2007,INGBIO,39,36.0,33.0,31.0,0.9230769230769231,0.8461538461538461,0.7948717948717948,PREGRADO
2007,INGCO,179,160.0,156.0,117.0,0.8938547486033519,0.8715083798882681,0.6536312849162011,PREGRADO
2007,INGEST,35,29.0,26.0,20.0,0.8285714285714286,0.7428571428571429,0.5714285714285714,PREGRADO
2007,INGFI,55,38.0,27.0,25.0,0.6909090909090909,0.4909090909090909,0.45454545454545453,PREGRADO
2007,INGMA,59,37.0,29.0,18.0,0.6271186440677966,0.4915254237288136,0.3050847457627119,PREGRADO
2007,LAT,48,43.0,38.0,37.0,0.8958333333333334,0.7916666666666666,0.7708333333333334,PREGRADO
2007,LCC,52,42.0,33.0,30.0,0.8076923076923077,0.6346153846153846,0.5769230769230769,PREGRADO
2007,LEB,40,34.0,30.0,29.0,0.85,0.75,0.725,PREGRADO
2007,LEE,37,28.0,25.0,22.0,0.7567567567567568,0.6756756756756757,0.5945945945945946,PREGRADO
2007,LEI,43,35.0,31.0,32.0,0.813953488372093,0.7209302325581395,0.7441860465116279,PREGRADO
2007,LEM,21,18.0,14.0,7.0,0.8571428571428571,0.6666666666666666,0.3333333333333333,PREGRADO
2007,LFM,63,46.0,29.0,12.0,0.7301587301587301,0.4603174603174603,0.19047619047619047,PREGRADO
2007,LICAF,56,52.0,48.0,47.0,0.9285714285714286,0.8571428571428571,0.8392857142857143,PREGRADO
2007,LQC,32,31.0,30.0,29.0,0.96875,0.9375,0.90625,PREGRADO
2007,MAGADE,44,42.0,10.0,7.0,0.9545454545454546,0.22727272727272727,0.1590909090909091,MAGISTER
2007,MAGARH,20,20.0,16.0,15.0,1.0,0.8,0.75,MAGISTER
2007,MAGCAG,10,3.0,,1.0,0.3,,0.1,MAGISTER
2007,MAGCDI,46,37.0,18.0,6.0,0.8043478260869565,0.391304347826087,0.13043478260869565,MAGISTER
2007,MAGEDU,120,102.0,49.0,24.0,0.85,0.4083333333333333,0.2,MAGISTER
2007,MAGEF,19,13.0,8.0,9.0,0.6842105263157895,0.42105263157894735,0.47368421052631576,MAGISTER
2007,MAGEI,10,8.0,5.0,2.0,0.8,0.5,0.2,MAGISTER
2007,MAGEII,7,6.0,5.0,4.0,0.8571428571428571,0.7142857142857143,0.5714285714285714,MAGISTER
2007,MAGFC,5,5.0,2.0,,1.0,0.4,,MAGISTER
2007,MAGFP,4,3.0,1.0,,0.75,0.25,,MAGISTER
2007,MAGGP,10,9.0,4.0,3.0,0.9,0.4,0.3,MAGISTER
2007,MAGGT,9,9.0,8.0,3.0,1.0,0.8888888888888888,0.3333333333333333,MAGISTER
2007,MAGHI,19,13.0,9.0,4.0,0.6842105263157895,0.47368421052631576,0.21052631578947367,MAGISTER
2007,MAGII,20,20.0,11.0,5.0,1.0,0.55,0.25,MAGISTER
2007,MAGLG,9,7.0,5.0,3.0,0.7777777777777778,0.5555555555555556,0.3333333333333333,MAGISTER
2007,MAGLI,10,8.0,6.0,3.0,0.8,0.6,0.3,MAGISTER
2007,MAGMA,134,99.0,25.0,13.0,0.7388059701492538,0.1865671641791045,0.09701492537313433,MAGISTER
2007,MAGPC,9,9.0,1.0,3.0,1.0,0.1111111111111111,0.3333333333333333,MAGISTER
2007,MAGPE,9,,2.0,2.0,,0.2222222222222222,0.2222222222222222,MAGISTER
2007,MAGPGT,18,4.0,2.0,,0.2222222222222222,0.1111111111111111,,MAGISTER
2007,MAGPS,10,9.0,2.0,5.0,0.9,0.2,0.5,MAGISTER
2007,MAGQUI,2,2.0,2.0,1.0,1.0,1.0,0.5,MAGISTER
2007,MAGTA,4,4.0,2.0,,1.0,0.5,,MAGISTER
2007,MAGTCO,12,9.0,6.0,7.0,0.75,0.5,0.5833333333333334,MAGISTER
2007,MED,65,63.0,58.0,58.0,0.9692307692307692,0.8923076923076924,0.8923076923076924,PREGRADO
2007,OBP,48,42.0,38.0,38.0,0.875,0.7916666666666666,0.7916666666666666,PREGRADO
2007,PEDCAST,35,32.0,26.0,27.0,0.9142857142857143,0.7428571428571429,0.7714285714285715,PREGRADO
2007,PEDEGB,45,42.0,39.0,39.0,0.9333333333333333,0.8666666666666667,0.8666666666666667,PREGRADO
2007,PEDFILOS,35,31.0,23.0,20.0,0.8857142857142857,0.6571428571428571,0.5714285714285714,PREGRADO
2007,PEDFISMAT,40,35.0,35.0,31.0,0.875,0.875,0.775,PREGRADO
2007,PEDHS,43,40.0,33.0,31.0,0.9302325581395349,0.7674418604651163,0.7209302325581395,PREGRADO
2007,PEDINGLES,40,36.0,36.0,35.0,0.9,0.9,0.875,PREGRADO
2007,PEDMATCOMP,61,48.0,48.0,45.0,0.7868852459016393,0.7868852459016393,0.7377049180327869,PREGRADO
2007,PEDQUIMBIO,27,20.0,19.0,18.0,0.7407407407407407,0.7037037037037037,0.6666666666666666,PREGRADO
2007,PEP,31,28.0,13.0,9.0,0.9032258064516129,0.41935483870967744,0.2903225806451613,PREGRADO
2007,PER,72,59.0,52.0,45.0,0.8194444444444444,0.7222222222222222,0.625,PREGRADO
2007,POSAG,36,1.0,1.0,,0.027777777777777776,0.027777777777777776,,POSTITUTLO
2007,POSAM,13,1.0,,,0.07692307692307693,,,POSTITUTLO
2007,POSAN,8,7.0,4.0,,0.875,0.5,,POSTITUTLO
2007,POSAPA,4,3.0,2.0,,0.75,0.5,,POSTITUTLO
2007,POSCG,18,13.0,7.0,,0.7222222222222222,0.3888888888888889,,POSTITUTLO
2007,POSEI,37,,,,,,,POSTITUTLO
2007,POSEMI,15,13.0,8.0,2.0,0.8666666666666667,0.5333333333333333,0.13333333333333333,POSTITUTLO
2007,POSEPI,13,9.0,3.0,,0.6923076923076923,0.23076923076923078,,POSTITUTLO
2007,POSEPR,34,,,,,,,POSTITUTLO
2007,POSGEO,27,,,,,,,POSTITUTLO
2007,POSGER,2,2.0,,,1.0,,,POSTITUTLO
2007,POSGO,8,4.0,1.0,,0.5,0.125,,POSTITUTLO
2007,POSIAM,9,,,,,,,POSTITUTLO
2007,POSIC,14,,,,,,,POSTITUTLO
2007,POSLTRI,33,1.0,1.0,1.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,POSTITUTLO
2007,POSMARN,12,,,,,,,POSTITUTLO
2007,POSMF,2,1.0,,,0.5,,,POSTITUTLO
2007,POSMU,3,3.0,3.0,,1.0,1.0,,POSTITUTLO
2007,POSNEU,7,6.0,2.0,,0.8571428571428571,0.2857142857142857,,POSTITUTLO
2007,POSPED,2,,,,,,,POSTITUTLO
2007,POSPP,32,,,,,,,POSTITUTLO
2007,POSTROR,11,8.0,2.0,,0.7272727272727273,0.18181818181818182,,POSTITUTLO
2007,POSURO,3,3.0,1.0,,1.0,0.3333333333333333,,POSTITUTLO
2007,PRE,70,34.0,7.0,2.0,0.4857142857142857,0.1,0.02857142857142857,PREGRADO
2007,PSI,71,64.0,62.0,61.0,0.9014084507042254,0.8732394366197183,0.8591549295774648,PREGRADO
2007,PUB,86,76.0,63.0,53.0,0.8837209302325582,0.7325581395348837,0.6162790697674418,PREGRADO
2007,TAI,41,35.0,31.0,21.0,0.8536585365853658,0.7560975609756098,0.5121951219512195,PREGRADO
2007,TAP,95,80.0,72.0,25.0,0.8421052631578947,0.7578947368421053,0.2631578947368421,PREGRADO
2007,TCI,35,29.0,28.0,13.0,0.8285714285714286,0.8,0.37142857142857144,PREGRADO
2007,TCO,37,33.0,32.0,24.0,0.8918918918918919,0.8648648648648649,0.6486486486486487,PREGRADO
2007,TDI,36,31.0,27.0,23.0,0.8611111111111112,0.75,0.6388888888888888,PREGRADO
2007,TEA,89,78.0,68.0,39.0,0.8764044943820225,0.7640449438202247,0.43820224719101125,PREGRADO
2007,TEC,87,80.0,76.0,52.0,0.9195402298850575,0.8735632183908046,0.5977011494252874,PREGRADO
2007,TMI,45,35.0,29.0,25.0,0.7777777777777778,0.6444444444444445,0.5555555555555556,PREGRADO
2007,TQF,34,23.0,21.0,10.0,0.6764705882352942,0.6176470588235294,0.29411764705882354,PREGRADO
2007,TRD,115,83.0,2.0,2.0,0.7217391304347827,0.017391304347826087,0.017391304347826087,PREGRADO
2007,TUI,50,41.0,14.0,,0.82,0.28,,PREGRADO
2008,ADMPUB,114,99.0,91.0,78.0,0.868421052631579,0.7982456140350878,0.6842105263157895,PREGRADO
2008,ARQ,60,51.0,49.0,48.0,0.85,0.8166666666666667,0.8,PREGRADO
2008,BACHI,191,147.0,65.0,17.0,0.7696335078534031,0.3403141361256545,0.08900523560209424,PREGRADO
2008,CCIV,80,57.0,56.0,42.0,0.7125,0.7,0.525,PREGRADO
2008,CONTA,160,140.0,130.0,125.0,0.875,0.8125,0.78125,PREGRADO
2008,DIPAN,14,,,,,,,DIPLOMADO
2008,DIPAP,27,1.0,,,0.037037037037037035,,,DIPLOMADO
2008,DIPAPR,37,,,,,,,DIPLOMADO
2008,DIPAR,29,1.0,,,0.034482758620689655,,,DIPLOMADO
2008,DIPCD,15,1.0,,,0.06666666666666667,,,DIPLOMADO
2008,DIPCSA,10,,,,,,,DIPLOMADO
2008,DIPDHG,9,,,,,,,DIPLOMADO
2008,DIPEG,22,,,,,,,DIPLOMADO
2008,DIPEPC,20,,,,,,,DIPLOMADO
2008,DIPET,38,,,,,,,DIPLOMADO
2008,DIPGA,21,2.0,,,0.09523809523809523,,,DIPLOMADO
2008,DIPGCLC,44,,,,,,,DIPLOMADO
2008,DIPGCSP,7,,,,,,,DIPLOMADO
2008,DIPGES,40,,,,,,,DIPLOMADO
2008,DIPGLGC,17,,,,,,,DIPLOMADO
2008,DIPGLPD,15,2.0,1.0,,0.13333333333333333,0.06666666666666667,,DIPLOMADO
2008,DIPGS,19,,,,,,,DIPLOMADO
2008,DIPIDT,18,,,,,,,DIPLOMADO
2008,DIPIEDF,27,,1.0,,,0.037037037037037035,,DIPLOMADO
2008,DIPIG,10,,,,,,,DIPLOMADO
2008,DIPMG,16,,,,,,,DIPLOMADO
2008,DIPMTCA,45,,11.0,,,0.24444444444444444,,DIPLOMADO
2008,DIPNICI,100,,,,,,,DIPLOMADO
2008,DIPPED,21,,,,,,,DIPLOMADO
2008,DIPPINF,10,,,,,,,DIPLOMADO
2008,DIPPMM,15,,,,,,,DIPLOMADO
2008,DIPSD,17,,,,,,,DIPLOMADO
2008,DIPTMET,16,,,,,,,DIPLOMADO
2008,DOCBIO,7,5.0,5.0,5.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,DOCTORADO
2008,DOCCSALIM,5,5.0,4.0,3.0,1.0,0.8,0.6,DOCTORADO
2008,DOCCSFIS,7,6.0,6.0,6.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,DOCTORADO
2008,DOCCSING,19,16.0,16.0,13.0,0.8421052631578947,0.8421052631578947,0.6842105263157895,DOCTORADO
2008,DOCCSMAT,7,7.0,7.0,6.0,1.0,1.0,0.8571428571428571,DOCTORADO
2008,DOCESTAM,23,20.0,19.0,15.0,0.8695652173913043,0.8260869565217391,0.6521739130434783,DOCTORADO
2008,DOCMICROBIO,7,7.0,6.0,6.0,1.0,0.8571428571428571,0.8571428571428571,DOCTORADO
2008,DOCQUIM,11,10.0,9.0,9.0,0.9090909090909091,0.8181818181818182,0.8181818181818182,DOCTORADO
2008,ENF,66,65.0,63.0,62.0,0.9848484848484849,0.9545454545454546,0.9393939393939394,PREGRADO
2008,ICELEC,133,113.0,95.0,92.0,0.849624060150376,0.7142857142857143,0.6917293233082706,PREGRADO
